server_generation,action_string,score,slots_size,score_per_slot
GPU.S1,"GPU.S1|buy-dismiss|DC2,1.0-60",537784.348311601,4,134446.08707790024
CPU.S4,"CPU.S4|buy-dismiss|DC3,0.9-96",268799.547582308,2,134399.773791154
CPU.S4,"CPU.S4|buy-dismiss|DC3,0.95-84",268691.81084679265,2,134345.90542339633
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.9-72",536954.4236373166,4,134238.60590932914
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.8-96",534498.8594364489,4,133624.71485911222
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.7-96",533826.8594364489,4,133456.71485911222
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.75-96",533077.3493961954,4,133269.33734904884
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.9-60",532481.2179739213,4,133120.30449348033
GPU.S3,"GPU.S3|buy-dismiss|DC1,1.0-48",530800.8847881556,4,132700.2211970389
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.85-84",528470.4444377013,4,132117.6111094253
GPU.S2,"GPU.S2|buy-dismiss|DC1,0.9-84",527804.9411693307,4,131951.23529233268
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.95-60",527359.3193786911,4,131839.8298446728
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.9-72",525034.8275768693,4,131258.70689421732
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.7-96",524418.8594364489,4,131104.71485911222
CPU.S4,"CPU.S4|buy-dismiss|DC4,0.95-84",261350.21084679264,2,130675.10542339632
CPU.S4,"CPU.S4|buy-dismiss|DC4,0.9-96",260850.74758230805,2,130425.37379115402
GPU.S2,"GPU.S2|buy-dismiss|DC1,0.95-72",520003.4291089176,4,130000.8572772294
CPU.S4,"CPU.S4|buy-dismiss|DC3,1.0-72",259488.49312101243,2,129744.24656050622
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.85-84",517846.66666088684,4,129461.66666522171
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.9-72",517514.4236373165,4,129378.60590932913
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.8-96",515741.87951695634,4,128935.46987923908
GPU.S1,"GPU.S1|buy-dismiss|DC1,0.9-84",514288.23528799776,4,128572.05882199944
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.8-96",511458.85943644895,4,127864.71485911224
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.95-60",510259.3193786911,4,127564.82984467277
GPU.S2,"GPU.S2|buy-dismiss|DC1,0.85-96",509153.038151227,4,127288.25953780675
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.85-84",508850.26666088676,4,127212.56666522169
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.95-60",505765.1308960209,4,126441.28272400523
CPU.S4,"CPU.S4|buy-dismiss|DC4,1.0-72",252864.49312101243,2,126432.24656050622
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.7-96",505602.85943644884,4,126400.71485911221
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.8-96",505314.85943644895,4,126328.71485911224
GPU.S1,"GPU.S1|buy-dismiss|DC1,0.95-72",505225.22495050076,4,126306.30623762519
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.9-72",504295.22363731655,4,126073.80590932914
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.9-48",501912.79630934005,4,125478.19907733501
GPU.S1,"GPU.S1|buy-dismiss|DC1,0.85-96",499015.746986766,4,124753.9367466915
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.8-96",492701.87951695634,4,123175.46987923908
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.75-72",492396.0262636851,4,123099.00656592127
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.95-60",492019.3193786911,4,123004.82984467277
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.8-96",489015.4795169563,4,122253.86987923908
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.95-60",488665.1308960209,4,122166.28272400523
